Datetime,Adj Close,Close,High,Low,Open,Volume
02/17/2023-03:00,23861.01758,23861.01758,23882.91602,23803.7832,23803.7832,26550272
02/17/2023-04:00,23789.26953,23789.26953,23877.9375,23751.53516,23854.6875,0
02/17/2023-05:00,23725.35156,23725.35156,23804.8457,23725.35156,23795.58984,0
02/17/2023-06:00,23662.9707,23662.9707,23742.71875,23662.9707,23725.31641,0
02/17/2023-07:00,23673.14258,23673.14258,23772.30859,23664.82813,23664.82813,0
02/17/2023-08:00,23697.95898,23697.95898,23697.95898,23608.32031,23668.66211,341454848
02/17/2023-09:00,23736.79883,23736.79883,23798.88477,23715.48047,23715.48047,584785920
02/17/2023-10:00,23755.27734,23755.27734,23778.63086,23712.05469,23737.12305,179339264
02/17/2023-11:00,23792.14453,23792.14453,23822.14258,23752.49414,23756.74023,137211904
02/17/2023-12:00,23864.2168,23864.2168,23878.80469,23784.26367,23791.10938,83509248
02/17/2023-13:00,23787.89258,23787.89258,23878.81641,23775.125,23864.94336,0
02/17/2023-14:00,23815.41406,23815.41406,24167.44922,23788.66406,23789.87109,1142386688
02/17/2023-15:00,24113.57031,24113.57031,24182.50586,23826.72656,23826.72656,885366784
02/17/2023-16:00,24070.31641,24070.31641,24252.81445,23975.57813,24114.4707,0
02/17/2023-17:00,24329.60352,24329.60352,24452.26367,24074.73047,24074.73047,1028878336
02/17/2023-18:00,24341.36328,24341.36328,24378.14453,24289.36133,24322.59766,96002048
02/17/2023-19:00,24524.75977,24524.75977,24524.75977,24283.24023,24341.88477,469614592
02/17/2023-20:00,24759.40234,24759.40234,24924.04102,24513.84375,24518.02539,980275200
02/17/2023-21:00,24623.05469,24623.05469,24793.91992,24620.47461,24768.61133,0
02/17/2023-22:00,24606.7207,24606.7207,24606.7207,24168.78711,24600.64063,531189760
02/17/2023-23:00,24567.2207,24567.2207,24683.00195,24558.92188,24630.48242,0
02/18/2023-00:00,24651.12891,24651.12891,24726.86914,24561.88477,24565.29688,0
02/18/2023-01:00,24613.69727,24613.69727,24650.38867,24600.94922,24650.38867,0
02/18/2023-02:00,24555.18164,24555.18164,24652.37695,24537.50781,24634.9668,0
02/18/2023-03:00,24603.10547,24603.10547,24606.75977,24544.72656,24554.60938,0
02/18/2023-04:00,24642.16211,24642.16211,24642.16211,24602.7832,24602.7832,0
02/18/2023-05:00,24627.35742,24627.35742,24638.21484,24613.09766,24636.99414,0
02/18/2023-06:00,24614.79883,24614.79883,24650.55078,24614.79883,24629.81445,0
02/18/2023-07:00,24545.41992,24545.41992,24620.77344,24522.96094,24618.03906,0
02/18/2023-08:00,24582.92578,24582.92578,24582.92578,24497.28711,24542.90625,0
02/18/2023-09:00,24563.08984,24563.08984,24582.99414,24551.21289,24580.40039,0
02/18/2023-10:00,24472.26367,24472.26367,24561.98828,24472.26367,24561.17969,0
02/18/2023-11:00,24522.28125,24522.28125,24537.0918,24468.37305,24473.34961,0
02/18/2023-12:00,24609.25586,24609.25586,24609.25586,24510.69727,24524.51563,0
02/18/2023-13:00,24582,24582,24622.2168,24582,24610.61914,0
02/18/2023-14:00,24665.04102,24665.04102,24665.04102,24556.30859,24582.15234,0
02/18/2023-15:00,24684.45898,24684.45898,24698.93945,24648.82031,24674.61133,0
02/18/2023-16:00,24643.47266,24643.47266,24681.50781,24641.8457,24681.50781,0
02/18/2023-17:00,24674.41211,24674.41211,24688.81641,24621.89258,24644.66016,0
